ablation,removed_terms,validation_r2,validation_rmse_nm,validation_mae_nm,delta_r2_vs_full,delta_rmse_nm_vs_full
none_full_model_3,,0.6607858309298305,1.7072447255874277,1.1180508877902033,0.0,0.0
remove_focus_squared_only,focus_um_squared,0.6569193831740004,1.7169469575358751,1.1225027920329769,-0.0038664477558300048,0.009702231948447437
remove_focus_linear_and_squared,focus_um;focus_um_squared,0.6577728633455835,1.7148100069150176,1.1210733901185257,-0.0030129675842469616,0.0075652813275899344
remove_coat_thickness,coat_thickness_nm,0.6407952167640827,1.7568304208642638,1.1625594567398945,-0.019990614165747767,0.049585695276836095
remove_develop_time,develop_time_s,0.6756241078250793,1.669487117650264,1.1211969240605044,0.014838276895248859,-0.03775760793716376
remove_peb_temp,peb_temp_c,0.6618774399972254,1.704495510289102,1.1165506467740645,0.0010916090673949164,-0.0027492152983257245
remove_softbake_temp,softbake_temp_c,0.6599480466795338,1.7093516845953,1.1211253067865141,-0.0008377842502966804,0.0021069590078723888
remove_developer_concentration,developer_concentration_pct,0.6999982938609128,1.6055382245807228,1.0855378674310794,0.03921246293108238,-0.10170650100670486
