pr_tone,n_rows,cd_count,cd_mean_nm,cd_std_nm,cd_min_nm,cd_q25_nm,cd_median_nm,cd_q75_nm,cd_max_nm
ALL,805,805,50.3930289378882,2.907068139716102,25.769242,48.649819,50.28351,51.957221,66.312582
POSITIVE,523,523,50.3818420458891,2.810321649601413,25.769242,48.7588225,50.203056,51.895469000000006,58.831832
NEGATIVE,271,271,50.41053647601476,3.110324914074416,35.974789,48.4635965,50.469659,52.052495,66.312582
MISSING,11,11,50.49359272727272,2.4425398205735807,46.961548,48.7135445,49.510376,52.524801999999994,54.299199
